LP Name,Investor Type,Country,S&P,Moody's
"Pensions Caixa 30, Fondo de Pensiones",Other Pension Plan,Spain,NR,NR
Royale Marocaine d'Assurance,Insurance Company,Morocco,NR,NR
Sedra Holding - Sole Proprietorship L.L.C.,SWF,United Arab Emirates,NR,NR
"Vida-Caixa, S.A. de Seguros y Reaseguros (Unit Linked Account ""Empleados Caixabank "")",Insurance Company,Spain,NR,NR
9655506 Canada Inc,Other Pension Plan,Canada,NR,NR
WL Alternative Investment Fund I,Fund-of-Funds,Luxembourg,NR,NR
WV Alternative Investment Fund I,Fund-of-Funds,Luxembourg,NR,NR
"RABW S.C.S., SICAV-RAIF - TF II",Fund-of-Funds,Luxembourg,NR,NR
Manulife (Singapore) Pte. Ltd.,Insurance Company,Canada,AA-,NR
Abeille IARD,Insurance Company,France,NR,NR
Abeille Retraite Professionnelle (ARP PHF),Insurance Company,France,NR,A2
Abeille Vie (AFER),Insurance Company,France,NR,NR
Abeille Vie PHF,Insurance Company,France,NR,NR
AER SHF,Insurance Company,France,NR,NR
ARP Pacte,Insurance Company,France,NR,NR
ARP Retraite,Insurance Company,France,NR,NR
AltriumThree Assets Pte. Ltd.,Fund-of-Funds,Singapore,NR,NR
AsterInvest Holdings Pte. Ltd,Fund-of-Funds,Singapore,NR,NR
Private Corner Wealth Expansion,Investment Company,,NR,NR
Halisol Private Equity Investments S.C.A. - RAIF,Fund-of-Funds,,NR,NR
GIWA Holding GmbH & Co KGaA,Fund-of-Funds,,NR,NR
S.I.GN Partenaires SA,Corporate,,NR,NR
Staminvest AG,Corporate,,NR,NR
Degroof Petercam PE Fund - ARD XP6 Buy-Out,Fund-of-Funds,,NR,NR
Degroof Private – Vintage Fund 2023,Fund-of-Funds,,NR,NR
Financière FCVL,Fund-of-Funds,,NR,NR
MIC Capital Management 39 RSC Ltd,SWF,,NR,NR
"DSF Placements privés, s.e.n.c",Other Pension Plan,,NR,NR
Expansion Invest 2023,Fund-of-Funds,,NR,NR
Régime de rentes du mouvement Desjardins,Other Pension Plan,,NR,NR
Ergo Private Capital Vorsorge GmbH (A),Fund-of-Funds,,NR,NR
"ACP GLOBAL PRIVATE MARKETS SCA SICAV-RAIF-""ACP PE 7 LOWER MID-MARKET""",Fund-of-Funds,,NR,NR
"ACP Multiactivo III, FCR",Fund-of-Funds,,NR,NR
"ACP Multiactivos II, FCR",Fund-of-Funds,,NR,NR
"AM GESTIO VENTURE CAPITAL S.R.C., S.A",Fund-of-Funds,,NR,NR
"Binicap, SCR, S.A.U.",Fund-of-Funds,,NR,NR
"Dispur Venture, SCR, S.A.",Fund-of-Funds,,NR,NR
Elisa Invest SCR,Fund-of-Funds,,NR,NR
"EXEA CAPITAL S.C.R., SA",Fund-of-Funds,,NR,NR
"Farahoz SCR, S.A.",Fund-of-Funds,,NR,NR
Fondation John Bost,Foundation,,NR,NR
Galma SCR,Fund-of-Funds,,NR,NR
"HISPAVIMA CAPITAL PRIVADO SCR, SA",Investment Company,,NR,NR
"IVIZA CAPITAL S.C.R., SA",Fund-of-Funds,,NR,NR
JUMI INVEST SCR S.A.,Fund-of-Funds,,NR,NR
MAPFRE PRIVATE EQUITY I FCR,Insurance Company,,NR,NR
"Santa Lucia Inversiones Alternativas, FCR",Insurance Company,,NR,NR
"Varini Inversiones SCR, S.A.",Fund-of-Funds,,NR,NR
"WHYMPER 1865, SCR, S.A.",Fund-of-Funds,,NR,NR
"AXA Fund Platform Private Equity S.C.A., SICAV-RAIF - Vintage 2024",Fund-of-Funds,,NR,NR
"AXA Vorsorge Private Markets S.C.S., SICAV-RAIF - Private Equity Vintage 2022",Fund-of-Funds,,NR,NR
Consorcio de Compensación de Seguros,Insurance Company,,NR,NR
FPCI Elevation Miriad II,Fund-of-Funds,,NR,NR
"Landon Investments, SCR, S.A.U",Investment Company,,NR,NR
Pensionskasse Suva,Corporate Pension Plan,,NR,NR
Suva,Insurance Company,,NR,NR
Groupama d'Oc,Insurance Company,,NR,NR
"LuxCo Alternatives S.A., SICAV-FIS",Fund-of-Funds,,NR,NR
Northern Private Equity Pool LP,Fund-of-Funds,,NR,NR
Yarpa Investimenti SGR SpA on behalf of Iota Fondo IX,Fund-of-Funds,,NR,NR
Cathay Life Insurance Co Ltd,Insurance Company,,A-,A3
